ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,7,60534090,0034
2019,1,60540510,0014
2019,2,60440110,0027
2019,1,60864311,0017
2019,2,60730230,0056
2019,7,60830640,0002
2019,1,60763430,0024
2019,9,60325570,0049
2019,7,60325000,0031
2019,29,60325450,0049
2019,17,60325440,0049
2019,1,60851240,0005
2019,4,60534310,0033
2019,15,60320000,0006
2019,3,60741560,0064
2019,40,60410691,0070
2019,2,60182560,0009
2019,2,60864380,0017
2019,1,60540051,0014
2019,2,60545450,0015
2019,1,60325000,0031
2019,1,60761330,0036
2019,3,60763700,0044
2019,1,60336480,0025
2019,6,60534090,0034
2019,1,60831160,0043
2019,1,60175380,0052
2019,3,60442200,0011
2019,1,60730120,0069
2019,15,60325000,0031
2019,13,60511110,0059
2019,3,60764600,0004
2019,3,60763430,0024
2019,10,60426000,0026
2019,8,60440240,0041
2019,2,60860270,0028
2019,100,60337350,0025
2019,2,60541702,0015
2019,5,60831370,0043
2019,3,60184110,0067
2019,9,60533671,0033
2019,4,60741600,0064
2019,7,60335000,0025
2019,8,60510541,0059
2019,3,60721110,0069
2019,6,60410760,0070
2019,1,60713590,0044
2019,325,60860000,0028
2019,1,60851290,0005
2019,3,60764330,0044
2019,3,60710705,0045
2019,2,60325000,0031
2019,1,60713300,0044
2019,1,60335480,0025
2019,1,60764300,0044
2019,10,60860150,0028
2019,2,60732280,0014
2019,66,60350550,0049
2019,25,60510290,0035
2019,2,60761380,0036
2019,1,60540440,0014
2019,78,60741300,0064
2019,28,60822240,0018
2019,10,60325440,0049
2019,9,60175210,0066
2019,63,60325005,0031
2019,23,60760660,0036
2019,76,60831480,0043
2019,11,60720820,0015
2019,173,60110300,0060
2019,4,60182001,0067
2019,3,60325000,0031
2019,2,60325000,0031
2019,4,60864240,0017
2019,3,60175600,0052
2019,14,60336010,0006
2019,3,60420040,0070
2019,2,60764020,0044
2019,4,60165170,0052
2019,410,60526450,0033
2019,1,60440140,0027
2019,4,60730220,0056
2019,1,60320280,0068
2019,1,60541490,0015
2019,1,60711020,0045
2019,2,60822240,0018
2019,3,60822180,0018
2019,4,60426110,0026
2019,17,60420000,0070
2019,2,60762840,0055
2019,15,60741200,0064
2019,32,60860000,0028
2019,52,60350550,0049
2019,1,60831700,0043
2019,4,60440130,0027
2019,16,60426000,0026
2019,5,60060570,0060
2019,8,60335480,0025
2019,3,60430690,0063
2019,1,60335480,0025
2019,3,60545380,0015
2019,3,60822320,0018
2019,4,60520500,0015
2019,1,60325160,0049
2019,141,60864190,0017
2019,2,60011320,0031
2019,3,60540250,0014
2019,27,60534000,0034
2019,1,60741200,0064
2019,1,60543310,0014
2019,3,60732554,0014
2019,19,60450130,0057
2019,3,60543310,0014
2019,66,60110260,0060
2019,19,60832401,0002
2019,1,60416480,0013
2019,2,60335000,0025
2019,1,60355770,0006
2019,2,60543310,0014
2019,10,60165170,0052
2019,8,60165082,0052
2019,14,60416030,0039
2019,6,60325220,0049
2019,2,60420090,0070
2019,10,60741010,0064
2019,1,60534050,0034
2019,9,60733123,0056
2019,7,60455650,0007
2019,4,60860150,0028
2019,2,60731410,0056
2019,4,60732555,0014
2019,8,60822180,0018
2019,6,60335490,0006
2019,3,60182580,0009
2019,2,60181190,0052
2019,1,60864330,0017
2019,3,60510290,0035
2019,2,60182000,0067
2019,2,60165082,0052
2019,3,60822180,0018
2019,2,60534150,0033
2019,24,60425800,0026
2019,13,60864190,0017
2019,40,60763600,0024
2019,12,60541490,0015
2019,1,60713410,0069
2019,171,60180420,0067
2019,1,60175270,0052
2019,4,60534130,0033
2019,8,60320350,0068
2019,1,60182490,0009
2019,1,60335000,0025
2019,2,60337220,0025
2019,2,60831410,0043
2019,13,60175220,0066
2019,10,60325610,0049
2019,1,60851030,0005
2019,1,60511320,0059
2019,6,60425140,0013
2019,1,60337350,0025
2019,10,60180000,0067
2019,7,60180410,0067
2019,10,60420210,0070
2019,1,60864311,0017
2019,11,60741600,0064
2019,2,60455680,0007
2019,1,60011060,0031
2019,87,60165120,0060
2019,13,60410700,0070
2019,13,60741330,0064
2019,1,60511800,0059
2019,1,60180200,0067
2019,7,60175270,0052
2019,102,60430580,0063
2019,7,60820160,0062
2019,3,60440080,0027
2019,9,60320000,0006
2019,1,60526130,0035
2019,5,60520490,0015
2019,3,60441410,0011
2019,11,60510290,0035
2019,1,60325160,0049
2019,4,60741560,0064
2019,1,60510390,0035
2019,2,60540663,0014
2019,2,60833020,0043
2019,1,60335110,0006
2019,20,60851290,0005
2019,3,60851030,0005
2019,6,60510290,0035
2019,1,60335520,0006
2019,16,60110300,0060
2019,1,60430170,0063
2019,46,60430660,0063
2019,1,60325610,0049
2019,2,60441160,0027
2019,28,60534050,0034
2019,1,60335000,0025
2019,4,60430660,0063
2019,3,60356340,0016
2019,1,60337170,0006
2019,16,60165050,0060
2019,9,60850470,0005
2019,1,60441630,0027
2019,8,60831600,0043
2019,11,60410691,0070
2019,3,60335000,0025
2019,9,60510290,0035
2019,1,60831601,0043
2019,79,60545210,0014
2019,28,60416020,0039
2019,4,60822180,0018
2019,5,60543130,0015
2019,2,60335010,0025
2019,1,60336210,0006
2019,11,60335000,0025
2019,2,60741050,0064
2019,2,60420130,0070
2019,22,60410640,0070
2019,3,60710430,0045
2019,15,60510450,0035
2019,2,60160130,0066
2019,1,60060220,0060
2019,9,60325450,0049
2019,3,60175330,0066
2019,1,60335480,0025
2019,4,60010000,0051
2019,18,60732800,0014
2019,19,60337120,0006
2019,7,60325640,0049
2019,43,60864370,0017
2019,1,60730290,0056
2019,1,60440010,0027
2019,7,60165270,0066
2019,1,60355050,0006
2019,32,60182340,0009
2019,7,60110300,0060
2019,6,60711220,0045
2019,2,60710480,0045
2019,1,60010000,0051
2019,2,60165120,0060
2019,20,60180000,0067
2019,17,60175230,0052
2019,15,60325160,0049
2019,2,60320350,0068
2019,21,60416030,0039
2019,14,60325000,0031
2019,1,60110300,0060
2019,1,60325440,0049
2019,10,60831370,0043
2019,1,60355050,0006
2019,2,60730120,0069
2019,4,60320000,0006
2019,8,60860150,0028
2019,2,60180480,0067
2019,3,60831435,0043
2019,7,60822270,0018
2019,1,60160260,0066
2019,1,60741560,0064
2019,1,60060420,0060
2019,5,60355050,0006
2019,7,60455670,0007
2019,20,60325490,0049
2019,3,60762780,0044
2019,1,60732260,0014
